Station;Stresemannstraße;Stresemannstraße;Stresemannstraße;Stresemannstraße
Messkomponente;Stickstoffdioxid;Stickstoffdioxid (4m);Stickstoffmonoxid;Stickstoffmonoxid (4m)
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2019 00:00;17;17;4;2
01.01.2019 01:00;30;31;14;13
01.01.2019 02:00;20;20;5;4
01.01.2019 03:00;13;13;2;2
01.01.2019 04:00;12;13;2;2
01.01.2019 05:00;9;10;2;2
01.01.2019 06:00;10;10;2;2
01.01.2019 07:00;10;11;2;2
01.01.2019 08:00;7;8;2;2
01.01.2019 09:00;6;7;2;2
01.01.2019 10:00;6;6;2;2
01.01.2019 11:00;6;7;2;2
01.01.2019 12:00;8;8;4;2
01.01.2019 13:00;8;8;2;2
01.01.2019 14:00;9;9;2;2
01.01.2019 15:00;9;9;4;2
01.01.2019 16:00;12;12;5;2
01.01.2019 17:00;11;11;7;2
01.01.2019 18:00;12;12;6;2
01.01.2019 19:00;10;11;6;4
01.01.2019 20:00;11;11;6;2
01.01.2019 21:00;10;10;5;2
01.01.2019 22:00;8;9;2;2
01.01.2019 23:00;8;9;2;2
02.01.2019 00:00;8;9;2;2
02.01.2019 01:00;8;8;2;2
02.01.2019 02:00;9;9;2;2
02.01.2019 03:00;7;8;2;2
02.01.2019 04:00;7;8;2;2
02.01.2019 05:00;12;12;5;2
02.01.2019 06:00;17;16;11;5
02.01.2019 07:00;29;27;22;14
02.01.2019 08:00;30;28;18;12
02.01.2019 09:00;35;34;24;15
02.01.2019 10:00;37;35;25;16
02.01.2019 11:00;32;31;19;13
02.01.2019 12:00;31;29;25;17
02.01.2019 13:00;28;27;21;15
02.01.2019 14:00;27;25;20;14
02.01.2019 15:00;25;24;18;12
02.01.2019 16:00;34;32;25;18
02.01.2019 17:00;52;44;35;21
02.01.2019 18:00;59;51;41;24
02.01.2019 19:00;46;41;27;18
02.01.2019 20:00;42;37;20;12
